学校名称,理科分数线,理科招生人数,文科分数线,文科招生人数
太原工业学院,531,27,518,3
长治学院,541,4,529,6
内蒙古科技大学,526,72,503,8
内蒙古科技大学包头师范学院,,10,527,
内蒙古民族大学,517,61,501,24
内蒙古农业大学,526,85,,
内蒙古工业大学,527,50,,
内蒙古师范大学,549,33,530,37
呼伦贝尔学院,542,3,508,10
沈阳工业大学,582,40,538,7
沈阳航空工业学院,575,42,503,4
沈阳理工大学,577,41,501,14
辽宁科技大学,545,41,515,15
辽宁石油化工大学,567,48,532,13
沈阳化工学院,556,70,,
大连交通大学,583,102,553,13
大连工业大学,573,78,533,22
东北财经大学,,,,
辽宁工业大学,544,28,566,2
大连水产学院,571,62,527,13
大连医科大学,586,14,,
辽宁医学院,529,5,,
辽宁中医药大学,543,25,,
辽宁师范大学,544,5,515,17
沈阳师范大学,563,20,516,14
渤海大学,526,18,513,12
鞍山师范学院,527,10,507,10
大连外国语学院,615,7,596,18
沈阳体育学院,527,15,499,28
沈阳大学,532,6,529,4
大连大学,562,30,542,14
辽东学院,519,10,,
沈阳工程学院,558,10,573,2
延边大学,526,115,502,71
东北电力大学,587,68,521,10
长春工业大学,576,62,516,14
吉林建筑工程学院,561,33,533,4
吉林化工学院,538,40,,
吉林农业大学,536,79,499,12
北华大学,545,45,516,8
通化师范学院,549,23,502,17
吉林师范大学,530,8,509,4
吉林工程技术师范学院,526,5,,
长春师范学院,546,12,504,14
白城师范学院,529,3,501,2
长春税务学院,586,40,580,18
吉林华桥外国语学院,526,41,500,34
长春工程学院,533,83,500,5
吉林农业科技学院,540,30,544,13
长春大学,548,13,534,14
吉林医药学院,527,30,,
上海应用技术学院,535,7,514,8
上海海事大学,619,16,590,7
上海水产大学,575,24,521,6
上海金融学院,617,10,607,5
上海工程技术大学,577,10,,
上海商学院,539,3,542,2
江苏科技大学,579,48,547,9
江苏工业学院,551,10,,
南京林业大学,572,20,540,2
南通大学,555,31,522,16
上海立信会计学院,,,,
苏州科技学院,527,15,531,4
常州工学院,536,4,,
南京工程学院,576,18,544,2
南京审计学院,658,3,625,3
淮海工学院,526,24,501,6
南京人口管理干部学院,,,502,
淮阴工学院,544,6,510,6
江苏技术师范学院,,,,
杭州电子科技大学,582,13,,
浙江林学院,526,13,521,7
浙江师范大学,529,15,500,20
绍兴文理学院,529,8,502,6
台州学院,525,11,505,8
上海政法学院,579,2,558,1
上海第二工业大学,560,10,,
浙江科技学院,541,9,,
浙江传媒学院,554,31,599,22
安徽理工大学,541,40,,
安徽农业大学,526,32,502,8
安徽师范大学,535,10,519,26
阜阳师范学院,,,535,5
淮北煤炭师范学院,533,16,500,14
安徽财经大学,553,10,555,10
淮南师范学院,536,15,501,5
安徽建筑工业学院,526,30,,
安徽科技学院,566,7,522,3
合肥学院,532,8,503,8
福建工程学院,527,20,,
福建农林大学,531,25,,
福建中医学院,529,10,,
福建师范大学,,,533,30
闽江学院,541,8,501,7
泉州师范学院,,,,
莆田学院,558,14,502,16
仰恩大学,536,5,511,5
华东交通大学,556,28,534,5
东华理工大学,531,,499,
南昌航空大学,565,27,523,5
江西理工大学,530,24,499,6
江西农业大学,528,20,501,5
江西中医学院,517,17,502,7
赣南医学院,517,13,500,2
江西师范大学,528,26,503,17
上饶师范学院,528,4,513,4
宜春学院,526,9,517,4
赣南师范学院,519,10,500,15
井冈山大学,550,5,513,4
江西财经大学,587,21,561,12
江西科技师范学院,517,21,494,8
九江学院,528,18,501,14
院南医学院,539,10,,
山东科技大学,583,70,554,10
青岛科技大学,579,49,,
济南大学,572,53,556,27
青岛理工大学,584,85,537,11
山东建筑大学,571,45,520,5
山东轻工业学院,527,47,509,3
山东理工大学,563,60,530,10
山东农业大学,527,55,528,5
青岛农业大学,538,26,527,4
潍坊医学院,526,20,,
泰山医学院,540,10,504,20
滨州医学院,523,45,499,15
山东中医药大学,531,30,,
济宁医学院,529,10,,
山东师范大学,579,20,552,20
曲阜师范大学,538,15,502,15
