分数,本段人数,累计人数
167,14,139482
166,13,139495
165,13,139508
164,12,139520
163,11,139531
162,12,139543
161,11,139554
160,10,139564
159,11,139575
158,10,139585
157,9,139594
156,10,139604
155,9,139613
154,9,139622
153,8,139630
152,8,139638
151,8,139646
150,7,139653
